timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz
1766547767.363876,-80.76,-0.98,-0.27,0.016601563,-0.004882813,0.986328125,0,0.1875,0,26.8,-42.9,18
1766547767.386045,-80.76,-0.91,-0.3,0.015625,-0.005371094,0.986328125,-0.0625,0.1875,0,27,-42.3,19.3
1766547767.4080808,-80.77,-0.83,-0.29,0.014648438,-0.005371094,0.986328125,-0.0625,0.125,0,27.4,-43,17.4
1766547767.429899,-80.76,-0.93,-0.24,0.016113281,-0.005371094,0.986328125,-0.1875,0.125,0,26.2,-43,18.6
1766547767.450272,-80.75,-0.95,-0.27,0.016601563,-0.005371094,0.986328125,-0.125,0.125,0,27.9,-41.1,18.3
1766547767.471471,-80.74,-0.99,-0.32,0.016601563,-0.005371094,0.985351563,-0.0625,0,0,26.5,-42.4,18
1766547767.491596,-80.73,-0.98,-0.29,0.016601563,-0.005371094,0.986328125,-0.0625,0,-0.0625,26.8,-40.9,17.7
1766547767.513477,-80.73,-0.97,-0.28,0.016601563,-0.005371094,0.986816406,-0.0625,0.0625,-0.0625,25.8,-40.2,17.2
1766547767.535167,-80.72,-0.92,-0.33,0.015625,-0.005859375,0.985351563,-0.125,0.125,0,25.2,-41.8,19
1766547767.5558999,-80.71,-0.92,-0.32,0.015625,-0.005859375,0.986816406,-0.0625,0.25,0,27.3,-42.9,19.9
1766547767.577318,-80.71,-0.93,-0.28,0.016113281,-0.005371094,0.985351563,0,0,0,26.7,-43,18.3
1766547767.599906,-80.7,-0.92,-0.33,0.015625,-0.005859375,0.986328125,-0.1875,0,0,26.5,-41.7,18.4
1766547767.617687,-80.7,-0.96,-0.34,0.016601563,-0.005859375,0.986328125,-0.125,0.1875,-0.0625,26.7,-41.8,19.3
1766547767.641672,-80.7,-0.92,-0.31,0.016113281,-0.005371094,0.985839844,0,0.125,0,25.2,-40.3,17.1
1766547767.6605608,-80.7,-0.99,-0.27,0.017089844,-0.004394531,0.985839844,-0.0625,0.125,-0.0625,26.5,-41.7,19.2
1766547767.6845598,-80.71,-0.9,-0.26,0.015625,-0.005371094,0.985351563,-0.125,0,0,24.3,-41.7,19.2
1766547767.704158,-80.7,-0.88,-0.28,0.015625,-0.005371094,0.986816406,-0.0625,0.125,-0.0625,26.5,-43.2,18.7
1766547767.727307,-80.7,-0.92,-0.29,0.016113281,-0.004882813,0.986328125,-0.125,0,0,25.2,-43,18.6
1766547768,-80.69,-0.94,-0.21,0.016113281,-0.004882813,0.985351563,-0.0625,0.125,0,27.4,-41.8,19.8
1766547768,-80.68,-0.95,-0.3,0.016113281,-0.005371094,0.985839844,-0.125,0.125,0,26.7,-41.5,18.6
1766547767.791682,-80.67,-0.96,-0.29,0.016601563,-0.005371094,0.986328125,-0.125,0.0625,0,27.3,-42.4,18.7
1766547767.812543,-80.66,-0.99,-0.31,0.016601563,-0.005371094,0.985839844,-0.0625,0.125,0,24.4,-41.1,18.3
1766547767.835177,-80.66,-0.96,-0.36,0.016113281,-0.006347656,0.984375,-0.0625,0,0,25.5,-42.6,18.6
1766547767.854207,-80.65,-0.95,-0.3,0.016113281,-0.005371094,0.984863281,-0.125,0,0,25.8,-40.2,18.7
1766547767.875597,-80.64,-0.95,-0.3,0.016113281,-0.005859375,0.985351563,-0.125,0.125,0,26.5,-43.6,17.7
1766547767.897461,-80.64,-0.96,-0.32,0.016113281,-0.005859375,0.985351563,-0.125,0.125,0,26.7,-41.5,19
1766547767.920279,-80.63,-0.97,-0.35,0.016601563,-0.005859375,0.985839844,-0.0625,0.1875,0,27.4,-43,18.3
1766547767.9393148,-80.63,-0.97,-0.25,0.016601563,-0.004394531,0.986328125,0,0.0625,0,26.7,-42.6,17.8
1766547767.961299,-80.62,-0.96,-0.33,0.016113281,-0.006347656,0.985351563,-0.125,0.0625,0,25.2,-41.5,17.4
1766547767.982819,-80.64,-0.96,-0.32,0.016113281,-0.005859375,0.985839844,-0.0625,0,0,27,-41.8,17.8
1766547768.004182,-80.63,-0.86,-0.25,0.015136719,-0.004882813,0.985839844,-0.25,0.0625,0,24.7,-41.8,17.8
1766547768.025235,-80.62,-0.91,-0.29,0.016601563,-0.005859375,0.985839844,-0.125,0.1875,0,26.5,-41.2,16.5
1766547768.047105,-80.62,-0.98,-0.27,0.017089844,-0.004882813,0.985839844,-0.125,0.0625,0,26.5,-40.9,17.7
1766547768.068373,-80.61,-0.99,-0.3,0.016601563,-0.005859375,0.985351563,-0.0625,0.0625,0,26.8,-42,17.7
1766547768.089495,-80.6,-0.96,-0.26,0.016601563,-0.004882813,0.985351563,-0.125,0,0,26.7,-43,18.6
1766547768.110104,-80.59,-0.98,-0.33,0.016601563,-0.005859375,0.985351563,-0.0625,0.125,0,25.5,-42.6,18.6
1766547768.1315782,-80.58,-0.92,-0.29,0.015625,-0.005371094,0.985839844,-0.0625,0.0625,0,27,-41.8,18.6
1766547768.155263,-80.58,-0.91,-0.28,0.015625,-0.004882813,0.985351563,-0.0625,0.0625,0,26.5,-41.2,18
1766547768.173044,-80.57,-0.96,-0.34,0.016601563,-0.005859375,0.985839844,-0.1875,0.1875,-0.0625,25.9,-42.6,17.8
1766547768.194012,-80.57,-0.94,-0.31,0.016113281,-0.005371094,0.986328125,-0.125,0,-0.0625,26.7,-41.1,17.4
1766547768.216403,-80.56,-0.97,-0.29,0.016601563,-0.005371094,0.987304688,-0.0625,0.0625,0.0625,26.7,-41.8,19.8
1766547768.237212,-80.56,-0.92,-0.32,0.015625,-0.005371094,0.985351563,-0.0625,0,0,27,-42.3,17.1
1766547768.258902,-80.55,-0.93,-0.26,0.015625,-0.004394531,0.985351563,0,0.0625,0,28.3,-42.9,18.7
1766547768.281127,-80.56,-0.91,-0.26,0.016113281,-0.005371094,0.985351563,-0.125,0.1875,0,25.3,-42,19.9
1766547768.3027341,-80.56,-0.89,-0.25,0.015625,-0.005371094,0.984375,-0.125,0,0,28,-42.4,16.5
1766547768.323503,-80.55,-0.91,-0.31,0.016113281,-0.006347656,0.985839844,-0.125,0.0625,0,26.5,-42,18.7
1766547768.3429859,-80.54,-0.92,-0.26,0.016113281,-0.005371094,0.985351563,-0.1875,0,-0.0625,26.1,-41.7,18.7
1766547768.366424,-80.53,-1.06,-0.3,0.017578125,-0.004882813,0.986328125,-0.0625,0.0625,0,26.8,-41.7,17.7
1766547768.3905642,-80.53,-0.98,-0.24,0.016601563,-0.004882813,0.985839844,0,0.0625,-0.0625,26.5,-41.2,17.2
1766547768.4086962,-80.52,-0.95,-0.32,0.016113281,-0.005859375,0.985839844,-0.0625,0,0,27.3,-43.2,16.9
1766547768.427531,-80.51,-0.96,-0.36,0.016113281,-0.005859375,0.986328125,-0.125,0.0625,-0.0625,25.2,-43.3,17.1
1766547768.4511669,-80.51,-0.93,-0.31,0.015625,-0.005859375,0.986328125,-0.125,0.0625,0,27.3,-40.9,18
1766547768.471364,-80.5,-1,-0.27,0.016601563,-0.005371094,0.985839844,-0.125,0.0625,-0.0625,26.2,-41.5,17.8
1766547768.493943,-80.5,-0.98,-0.25,0.017089844,-0.004394531,0.985839844,-0.0625,0,0,27.4,-42.6,17.4
1766547768.514257,-80.5,-0.95,-0.29,0.016113281,-0.005371094,0.984863281,-0.125,0.0625,0,25.9,-43.3,17.4
1766547768.535879,-80.49,-1,-0.31,0.016601563,-0.005371094,0.985839844,-0.125,0,0,26.8,-42.9,18
1766547768.5569558,-80.49,-0.98,-0.32,0.016601563,-0.005859375,0.983886719,-0.125,0.1875,0.0625,25.9,-42.3,17.8
1766547768.5796359,-80.5,-0.93,-0.26,0.016113281,-0.005371094,0.985839844,0,0.125,0,27.4,-41.1,17.1
1766547768.6015759,-80.49,-0.96,-0.27,0.016601563,-0.005371094,0.985839844,-0.0625,0.0625,0,26.2,-41.5,17.4
1766547768.622349,-80.48,-0.95,-0.29,0.016113281,-0.005371094,0.985351563,-0.0625,0.125,0,26.2,-42.6,18.6
1766547768.6454499,-80.47,-0.94,-0.27,0.016113281,-0.005371094,0.985351563,-0.0625,0.0625,0,27.4,-41.1,17.4
1766547768.665167,-80.46,-0.96,-0.27,0.016113281,-0.005371094,0.986328125,0,0.125,0,27.6,-41.2,17.2
